ISO,country,MPI Urban,Headcount Ratio Urban,Intensity of Deprivation Urban,MPI Rural,Headcount Ratio Rural,Intensity of Deprivation Rural,rural_pct,MPI,Country,Human Development Index (HDI),findex
ECU,Ecuador,0.005,1.5,36.5,0.03,7.68,39.3,99.0,0.02975,Ecuador,0.732,20.69553746701798
JOR,Jordan,0.006,1.7,34.7,0.006999999999999999,1.81,36.2,67.0,0.00667,Jordan,0.748,10.783557695423012
BLZ,Belize,0.006,1.6,37.9,0.027999999999999997,6.98,39.9,100.0,0.027999999999999997,Belize,0.715,24.420036864525397
CHN,China,0.006999999999999999,1.9,38.9,0.027999999999999997,6.74,42.1,70.0,0.021699999999999997,China,0.727,31.42223781391287
COL,Colombia,0.009000000000000001,2.3,37.2,0.061,14.44,42.6,30.0,0.0246,Colombia,0.72,19.52012481944043
SLV,El Salvador,0.01,2.4,40.3,0.052000000000000005,12.51,41.8,57.0,0.033940000000000005,El Salvador,0.6659999999999999,20.675780481210577
MNG,Mongolia,0.01,2.8,36.4,0.09300000000000001,22.24,42.0,30.0,0.03490000000000001,Mongolia,0.727,47.733063740579375
PER,Peru,0.011000000000000001,2.9,38.6,0.113,27.13,41.6,30.0,0.0416,Peru,0.7340000000000001,15.84756784884996
NIC,Nicaragua,0.015,3.8,40.0,0.15,32.81,45.8,30.0,0.0555,Nicaragua,0.631,13.092369039761387
BRA,Brazil,0.016,4.1,38.3,0.054000000000000006,11.96,45.1,0.0,0.016,Brazil,0.755,21.56063101551229
BTN,Bhutan,0.019,4.7,39.5,0.159,35.98,44.2,70.0,0.117,Bhutan,0.605,14.733633173208707
TJK,Tajikistan,0.02,5.5,36.3,0.065,15.63,41.3,80.0,0.05600000000000001,Tajikistan,0.624,4.068605129976962
HND,Honduras,0.022000000000000002,5.2,41.6,0.11900000000000001,25.67,46.5,90.0,0.10930000000000001,Honduras,0.606,16.454834523727985
KHM,Cambodia,0.027999999999999997,7.1,39.4,0.16899999999999998,38.06,44.5,90.0,0.15489999999999998,Cambodia,0.555,13.000674647080368
DOM,Dominican Republic,0.028999999999999998,7.9,37.2,0.048,11.69,41.0,70.0,0.0423,Dominican Republic,0.715,29.675708073500928
NPL,Nepal,0.031,7.0,43.8,0.147,33.13,44.2,70.0,0.1122,Nepal,0.5479999999999999,18.7688320813205
ZWE,Zimbabwe,0.034,8.7,39.3,0.20199999999999999,46.27,43.7,100.0,0.20199999999999999,Zimbabwe,0.509,8.790944401111643
PHL,Philippines,0.035,8.1,42.7,0.068,13.67,49.9,84.0,0.06272,Philippines,0.6679999999999999,17.600798751002955
IDN,Indonesia,0.039,10.2,38.7,0.09300000000000001,20.69,45.0,87.0,0.08598000000000001,Indonesia,0.684,23.258469456261835
LSO,Lesotho,0.044000000000000004,11.0,39.8,0.179,40.43,44.3,90.0,0.16549999999999998,Lesotho,0.49700000000000005,7.629413555773396
GTM,Guatemala,0.048,10.7,44.5,0.161,35.05,45.9,60.0,0.1158,Guatemala,0.627,19.730886729589045
GHA,Ghana,0.075,17.6,42.7,0.235,49.42,47.5,0.0,0.075,Ghana,0.579,18.27190852057143
KEN,Kenya,0.076,17.3,43.6,0.245,51.44,47.5,65.0,0.18585000000000002,Kenya,0.5479999999999999,32.272459201004416
TGO,Togo,0.081,19.6,41.5,0.35600000000000004,68.55,51.9,0.0,0.081,Togo,0.484,7.6399774392948485
PAK,Pakistan,0.087,20.0,43.3,0.299,55.7,53.6,25.0,0.13999999999999999,Pakistan,0.5379999999999999,4.003307885607442
NAM,Namibia,0.087,20.3,43.0,0.28800000000000003,61.46,46.9,70.0,0.2277,Namibia,0.628,22.082091274447517
CMR,Cameroon,0.091,19.9,45.6,0.39299999999999996,70.18,56.0,93.0,0.37185999999999997,Cameroon,0.512,5.676616901156942
MWI,Malawi,0.098,23.2,42.4,0.27699999999999997,58.9,47.0,20.0,0.13379999999999997,Malawi,0.445,9.164068311324247
RWA,Rwanda,0.11,24.8,44.2,0.289,59.78,48.4,99.0,0.28720999999999997,Rwanda,0.483,20.639286348126305
HTI,Haiti,0.11199999999999999,25.2,44.6,0.341,65.9,51.7,70.0,0.2723,Haiti,0.483,9.311563540657177
MDG,Madagascar,0.113,24.9,45.3,0.396,73.7,53.8,99.0,0.39317,Madagascar,0.51,3.823005934839306
ZMB,Zambia,0.13,29.5,44.0,0.38,74.2,51.3,20.0,0.18,Zambia,0.586,14.246373276558947
NGA,Nigeria,0.132,28.1,47.0,0.41600000000000004,69.98,59.5,100.0,0.41600000000000004,Nigeria,0.514,18.530594747147408
AFG,Afghanistan,0.132,28.8,45.8,0.34700000000000003,64.66,53.6,70.0,0.28250000000000003,Afghanistan,0.465,5.032642825891838
UGA,Uganda,0.133,29.2,45.5,0.408,77.07,52.9,70.0,0.32549999999999996,Uganda,0.483,22.705601225194233
SEN,Senegal,0.142,29.7,47.7,0.47200000000000003,81.04,58.3,55.0,0.3235,Senegal,0.466,7.089139444517757
MLI,Mali,0.18899999999999997,40.9,46.3,0.53,87.73,60.5,100.0,0.53,Mali,0.419,5.416408756286284
BEN,Benin,0.192,41.0,46.8,0.386,76.9,50.2,70.0,0.3278,Benin,0.48,9.683835554246661
BDI,Burundi,0.209,43.1,48.5,0.48100000000000004,84.91,56.6,99.0,0.47828000000000004,Burundi,0.4,3.4989521917867172
BFA,Burkina Faso,0.226,45.8,49.4,0.621,94.66,65.6,30.0,0.34450000000000003,Burkina Faso,0.402,8.54994864718226
SLE,Sierra Leone,0.271,56.3,48.2,0.551,92.03,59.8,66.0,0.4558,Sierra Leone,0.413,8.807312341041456
LBR,Liberia,0.29,60.5,48.0,0.48100000000000004,84.86,56.6,72.0,0.42752000000000007,Liberia,0.43,11.923627954158876
